Test Num,DP,DP 2.0,DP 3.0,TT,TT 2.0
1,9252,4413,2427,1943,1887,
2,2345,1878,1798,1882,1892,
3,8148,7097,8861,8027,7910,
4,40486,41049,1021,11333,11289,
5,21469,20119,12423,10985,10497,
6,25214,24547,11905,14446,14599,
7,35152,35279,14545,8454,8814,
8,101675,102959,36293,11842,12284,
9,21977,21402,12671,10394,9983,
10,7779,7120,4306,7603,7587,
11,10241,10457,8263,6345,6092,
12,25719,24887,12147,13402,13201,
13,14821,14782,10031,4006,3920,
14,28769,27635,14430,17637,17620,
15,1814,1826,1734,1791,1788,
16,33423,33984,14627,10267,10000,
17,71428,70149,16611,44458,44611,
18,2724,1843,2072,3480,3462,
19,22546,23005,10458,63827,66077,
20,227504,230610,49809,62693,62250,
21,39417,39509,15653,20636,19770,
22,11675,11036,8956,11241,11498,
23,14031,13970,8660,5114,5102,
24,27231,27430,6744,4748,4753,
25,62202,63482,24877,192738,196031,
26,40008,42154,15060,5072,5023,
27,21016,21376,11512,12588,12341,
28,15309,15163,9135,5679,5516,
29,5908,4750,4700,10590,10564,
30,78986,79084,16295,5738,5968,
31,35697,35495,12847,6553,6467,
32,65707,65831,31625,13999,13860,
33,6681,7090,6647,6971,6786,
34,56969,59165,18455,7843,7650,
35,50850,48621,24988,15991,16174,
36,151148,151832,35309,8515,8378,
37,82455,82820,24026,41024,39985,
38,57783,58667,16723,21932,21855,
39,12108,11768,6529,9296,8987,
40,99337,98586,27598,41482,40954,
41,165297,168233,30854,36501,36576,
42,11784,12291,8392,8355,8297,
43,36744,36691,20909,9165,9046,
44,510380,504985,52922,330470,327558,
45,50734,39792,24921,215766,218123,
